category,promotion_flag,units_sold,revenue,gross_profit,avg_discount,gross_margin_pct
Beverages,0,48203,739681.71,253689.86,0.0,34.29716546594075
Beverages,1,85440,1182475.88,320726.75,10.1643196931269,27.12332280299874
Dairy,0,76027,1635608.36,554080.76,0.0,33.8761266786384
Dairy,1,134154,2602553.28,683803.97,10.18900074661015,26.274350471702927
Electronics,0,128288,15567610.63,5245350.350000001,0.0,33.693997586834556
Electronics,1,231862,25223340.26,6602914.79,10.12796526077602,26.177796921175894
Grocery,0,75327,2134321.68,737168.73,0.0,34.53878283239853
Grocery,1,134599,3430380.73,923853.83,10.179534239980743,26.931524594939056
Household,0,90673,3146922.73,1052852.31,0.0,33.4565669491351
Household,1,161236,5043813.19,1307565.76,10.199838930820121,25.924151247163852
Personal Care,0,66435,3160144.7600000002,970603.27,0.0,30.71388634740897
Personal Care,1,117423,5021654.53,1145356.07,10.236902839732538,22.808340620755526
Snacks,0,117390,1656794.61,574242.06,0.0,34.65982183512777
Snacks,1,210066,2664480.64,725202.05,10.20194332832357,27.217388601479946
