month,month_name,promotion_flag,units_sold,revenue,gross_profit,gross_margin_pct
1,January,1,241807,10181984.19,2643948.33,25.966926295138947
2,February,0,560,27117.59,9013.11,33.23713501089146
2,February,1,209794,8841546.14,2286900.7600000002,25.86539417188406
3,March,0,50383,2331352.52,783349.5700000001,33.600648691258414
3,March,1,79115,3152421.16,704186.16,22.3379467482067
4,April,0,35864,1671224.32,559942.63,33.50493547149912
4,April,1,107546,4370726.18,1003846.3200000001,22.96749507195164
5,May,0,105580,4917717.08,1643485.49,33.41968363092575
5,May,1,36430,1448885.58,324909.38,22.424778359654873
6,June,0,109532,5112028.44,1714417.85,33.53693881249221
6,June,1,14133,550262.04,119520.67,21.720682386159147
7,July,1,177006,7643443.57,2160789.11,28.269837936410642
8,August,1,177221,7713311.72,2181571.37,28.283199865284324
9,September,0,79795,3734487.38,1250625.1500000001,33.48853598214597
10,October,0,85541,3956906.07,1323563.87,33.449463964657625
11,November,0,58890,2734876.44,912427.04,33.36264215285719
11,November,1,14709,551255.03,94596.48,17.16020260168873
12,December,0,76198,3555374.64,1191162.6300000001,33.503153692967786
12,December,1,17019,714862.9,189154.64,26.460268115746395
