feature,random_forest_importance,xgboost_importance,lightgbm_importance,average_importance
lag_1,0.10732470929344641,0.005647115,749,249.7043239414124
lag_2,0.04232656851972108,0.0015349963,713,237.68128718828038
lag_14,0.015154623883801642,0.0014664424,705,235.00554035541631
lag_56,0.01247585191839976,0.0016676434,648,216.00471449845
lag_7,0.026870787397489597,0.0015757789,646,215.34281552211147
lag_21,0.010869009527601862,0.0012646286,628,209.33737787937753
lag_3,0.03887080412967101,0.0014459452,606,202.01343891645521
lag_28,0.011335347100147103,0.0015885691,602,200.67097463874643
rolling_std_7,0.022256462919280236,0.0014065907,586,195.34122101786878
rolling_mean_7,0.08660592225778091,0.0036248981,568,189.36341027346884
rolling_std_14,0.017604369599101385,0.0018193932,495,165.0064745876158
rolling_std_28,0.014988263243964595,0.0017160913,490,163.33890145151386
rolling_mean_14,0.04265320726342498,0.0020275798,467,155.68156026235982
avg_discount,0.1588500715420306,0.051655997,465,155.07016868937762
rolling_mean_56,0.01226658544299605,0.0014174643,436,145.33789468326228
rolling_mean_28,0.01469542241353315,0.0015377591,431,143.6720777271678
day_of_month,0.009242803956098177,0.001343867,388,129.33686222366637
trend,0.011210103974623693,0.0017104062,371,123.67097350337666
day_of_week,0.02966745538137544,0.018598137,268,89.34942186426827
week_of_year,0.038939387120949756,0.004479662,176,58.68113968305684
day_of_week_sin,0.02684860663794859,0.0019814866,94,31.34294336440144
day_of_week_cos,0.002825274701232618,0.00076933904,85,28.33453153791248
month_cos,0.01530190469009784,0.014058206,77,25.67645337030683
month_sin,0.01334147126718879,0.021768851,75,25.011703440824295
month,0.034486001381814554,0.010799256,66,22.015095085845072
year,0.003700585237642405,0.0010322218,36,12.001577602355722
is_weekend,0.024619200768384347,0.0071076774,28,9.34390895939074
promotion_flag,0.1468675804408045,0.83140785,11,3.9927584751536997
quarter,0.007801617989448767,0.0035462566,5,1.6704492915204856
