store_id,sku_id,stock_on_hand,calibrated_forecast_30d,calibrated_forecast_60d,calibrated_forecast_90d,planning_daily_demand,planning_stockout_risk,planning_inventory_risk,business_action,recommended_action
22,1128,447,0.0,0.0,0.0,0.0,NO_FORECAST_DEMAND,NO_FORECAST_DEMAND,NO_ACTION_REVIEW_DORMANT,REVIEW_DORMANT_STOCK
28,1094,442,0.0,0.0,0.0,0.0,NO_FORECAST_DEMAND,NO_FORECAST_DEMAND,NO_ACTION_REVIEW_DORMANT,REVIEW_DORMANT_STOCK
34,1104,431,0.0,0.0,0.0,0.0,NO_FORECAST_DEMAND,NO_FORECAST_DEMAND,NO_ACTION_REVIEW_DORMANT,REVIEW_DORMANT_STOCK
33,1086,425,0.0,0.0,0.0,0.0,NO_FORECAST_DEMAND,NO_FORECAST_DEMAND,NO_ACTION_REVIEW_DORMANT,REVIEW_DORMANT_STOCK
10,1110,417,0.0,0.0,0.0,0.0,NO_FORECAST_DEMAND,NO_FORECAST_DEMAND,NO_ACTION_REVIEW_DORMANT,REVIEW_DORMANT_STOCK
41,1086,414,0.0,0.0,0.0,0.0,NO_FORECAST_DEMAND,NO_FORECAST_DEMAND,NO_ACTION_REVIEW_DORMANT,REVIEW_DORMANT_STOCK
9,1127,414,0.0,0.0,0.0,0.0,NO_FORECAST_DEMAND,NO_FORECAST_DEMAND,NO_ACTION_REVIEW_DORMANT,REVIEW_DORMANT_STOCK
10,1128,407,0.0,0.0,0.0,0.0,NO_FORECAST_DEMAND,NO_FORECAST_DEMAND,NO_ACTION_REVIEW_DORMANT,REVIEW_DORMANT_STOCK
15,1127,406,0.0,0.0,0.0,0.0,NO_FORECAST_DEMAND,NO_FORECAST_DEMAND,NO_ACTION_REVIEW_DORMANT,REVIEW_DORMANT_STOCK
19,1029,398,0.0,0.0,0.0,0.0,NO_FORECAST_DEMAND,NO_FORECAST_DEMAND,NO_ACTION_REVIEW_DORMANT,REVIEW_DORMANT_STOCK
11,1128,390,0.0,0.0,0.0,0.0,NO_FORECAST_DEMAND,NO_FORECAST_DEMAND,NO_ACTION_REVIEW_DORMANT,REVIEW_DORMANT_STOCK
29,1105,373,0.0,0.0,0.0,0.0,NO_FORECAST_DEMAND,NO_FORECAST_DEMAND,NO_ACTION_REVIEW_DORMANT,REVIEW_DORMANT_STOCK
