sku_id,forecast_90d_units,avg_daily_forecast,max_daily_forecast
1195,914.58374,0.20324083,0.60548043
1196,902.30054,0.20051123,0.54772854
1194,900.661,0.2001469,0.60548043
1092,898.0272,0.19956161,0.642922
1100,897.94916,0.19954425,0.64352477
1091,897.83203,0.19951823,0.642922
1098,897.63336,0.19947408,0.64352477
1102,897.53107,0.19945134,0.6530272
1097,897.5067,0.19944593,0.64352477
1095,897.4554,0.19943453,0.64352477
1093,897.4442,0.19943205,0.642922
1106,897.4152,0.19942561,0.6530272
1094,897.4101,0.19942446,0.64352477
1096,897.187,0.19937488,0.64352477
1101,897.1409,0.19936465,0.64352477
1099,897.09015,0.19935337,0.64352477
1103,897.0621,0.19934712,0.6530272
1108,897.0133,0.19933629,0.6425128
1105,896.66174,0.19925816,0.6530272
1109,896.4702,0.1992156,0.6425128
1104,895.9325,0.19909611,0.6530272
1107,895.845,0.19907667,0.6425128
1113,895.30426,0.1989565,0.5860529
1110,894.55756,0.19879057,0.6425128
1111,893.77747,0.19861722,0.5860529
1112,893.61786,0.19858174,0.5860529
1114,893.277,0.198506,0.5860529
1115,893.0468,0.19845484,0.5860529
1197,885.4747,0.19677214,0.54167414
1200,860.2908,0.19117573,0.52579296
1198,858.72375,0.1908275,0.5304717
1199,846.6166,0.18813701,0.52579296
1193,839.77856,0.18661746,0.521026
1192,839.3335,0.18651855,0.521026
1190,839.21844,0.186493,0.521026
1191,838.90314,0.18642291,0.521026
1189,838.73016,0.18638448,0.521026
1182,836.083,0.18579623,0.5248906
1131,835.9719,0.18577154,0.55166125
1130,835.7205,0.18571568,0.55166125
1125,835.67566,0.1857057,0.55166125
1124,835.65204,0.18570045,0.55166125
1128,835.6213,0.18569362,0.55166125
1126,835.27246,0.1856161,0.55166125
1127,835.14777,0.18558839,0.55166125
1129,835.0896,0.18557547,0.55166125
1184,834.8148,0.1855144,0.521026
1132,834.56323,0.1854585,0.57801723
1116,834.32526,0.18540561,0.5496554
1183,833.8012,0.18528916,0.521026
1133,833.5929,0.18524286,0.5915872
1120,833.41064,0.18520236,0.5496554
1186,833.2799,0.18517332,0.521026
1188,833.1777,0.1851506,0.521026
1187,833.1349,0.18514109,0.521026
1123,833.0963,0.18513252,0.5496554
1122,832.84467,0.1850766,0.5496554
1121,832.67505,0.1850389,0.5496554
1118,832.6668,0.18503706,0.5496554
1119,832.5261,0.1850058,0.5496554
1185,832.3087,0.18495749,0.521026
1117,831.9422,0.18487604,0.5496554
1172,831.746,0.18483244,0.56719655
1134,831.53644,0.18478587,0.5915872
1173,831.4805,0.18477345,0.5658392
1136,831.2884,0.18473075,0.560084
1135,831.0743,0.18468317,0.560084
1137,831.0183,0.18467073,0.560084
1174,829.5631,0.18434736,0.5644346
1140,829.43787,0.18431953,0.55966365
1138,829.32947,0.18429543,0.55966365
1139,829.09216,0.1842427,0.55966365
1176,829.01056,0.18422458,0.5644346
1141,828.93274,0.18420728,0.55966365
1175,828.53815,0.18411958,0.5644346
1177,827.9215,0.18398255,0.5644346
1180,827.80194,0.18395598,0.5185516
1178,827.7116,0.18393591,0.5187874
1181,827.3688,0.18385972,0.5185516
1179,826.74133,0.18372029,0.5185516
1153,823.0825,0.18290722,0.54432654
1150,823.0558,0.1829013,0.54432654
1171,822.93054,0.18287346,0.57840127
1148,822.85876,0.1828575,0.54432654
1154,822.6443,0.18280984,0.54432654
1142,822.63165,0.18280703,0.54432654
1149,822.4809,0.18277353,0.54432654
1169,822.41223,0.18275827,0.57840127
1155,822.16943,0.18270431,0.54432654
1145,822.0625,0.18268056,0.54432654
1151,821.97565,0.18266125,0.54432654
1144,821.93475,0.18265216,0.54432654
1147,821.85394,0.1826342,0.54432654
1152,821.7298,0.18260662,0.54432654
1143,821.64557,0.1825879,0.54432654
1146,821.2824,0.1825072,0.54432654
1170,821.20825,0.18249072,0.57840127
1168,816.15015,0.1813667,0.5729708
1158,808.8714,0.1797492,0.53727305
1166,808.4553,0.17965674,0.5710463
1163,808.3925,0.17964278,0.57107526
1159,808.3265,0.1796281,0.53727305
1160,808.2614,0.17961365,0.53727305
1161,808.19104,0.179598,0.57107526
1157,807.89325,0.17953183,0.53727305
1164,807.81323,0.17951405,0.57107526
1156,807.6724,0.17948276,0.53727305
1162,807.43207,0.17942935,0.57107526
1165,807.0261,0.17933914,0.57107526
1167,806.51984,0.17922664,0.5710463
1090,724.5492,0.16101094,0.3742544
1089,723.8563,0.16085696,0.3742544
1056,677.9707,0.15066016,0.38459176
1061,677.5209,0.1505602,0.38459176
1026,677.47345,0.15054965,0.3842366
1028,677.4008,0.15053351,0.3842366
1029,677.3693,0.15052652,0.3842366
1032,677.20856,0.15049079,0.3842366
1060,677.15936,0.15047985,0.38459176
1064,677.10046,0.15046677,0.38459176
1033,677.06696,0.15045932,0.3842366
1034,676.91846,0.15042633,0.3842366
1031,676.83417,0.1504076,0.3842366
1051,676.7684,0.15039296,0.38459176
1053,676.69257,0.15037613,0.38459176
1035,676.62463,0.15036103,0.3842366
1068,676.6016,0.15035592,0.38459176
1030,676.56866,0.15034859,0.3842366
1058,676.5671,0.15034825,0.38459176
1027,676.52966,0.15033993,0.3842366
1057,676.42365,0.15031637,0.38459176
1041,676.3892,0.15030871,0.3842366
1037,676.35706,0.15030156,0.3842366
1020,676.2791,0.15028425,0.40731773
1039,676.2,0.15026666,0.3842366
1036,676.1581,0.15025735,0.3842366
1044,676.14716,0.15025492,0.3842366
1038,676.1416,0.15025368,0.3842366
1065,676.0793,0.15023984,0.38459176
1055,675.9534,0.15021187,0.38459176
1059,675.9348,0.15020774,0.38459176
1063,675.9182,0.15020405,0.38459176
1043,675.8958,0.15019907,0.3842366
